river,country,province
Yodo,J,Shiga
Kushiro,J,Hokkaido
Tamsui,RC,Taiwan
Gaoping,RC,Taiwan
Liao He,CN,Nei Mongol
Huang He,CN,Qinghai
Wei He,CN,Gansu
Huai,CN,Henan
Yangtze,CN,Qinghai
Han,CN,Shaanxi
Gan Jiang,CN,Jiangxi
Xiang Jiang,CN,Guangxi
Yuan Jiang,CN,Guizhou
Pearl River,CN,Guangdong
Dong Jiang,CN,Guangdong
Bei Jiang,CN,Guangdong
Xi Jiang,CN,Yunnan
Hong He,CN,Yunnan
Mekong,CN,Qinghai
Tonle Sap River,K,Cambodia
Mae Nam Chao Phraya,THA,Thailand
Mae Nam Ping,THA,Thailand
Mae Nam Nan,THA,Thailand
Saluen,CN,Xizang
Irawaddy,CN,Xizang
Ganges,IND,Uttarakhand
Ghaghara,CN,Xizang
Gandaki,NEP,Nepal
Kali Gandaki,NEP,Nepal
Trishuli,CN,Xizang
Koshi,NEP,Nepal
Sunkoshi,CN,Xizang
Arun,CN,Xizang
Yamuna,IND,Uttarakhand
Chambal,IND,Madhya Pradesh
Brahmaputra,CN,Xizang
Raidak,BHT,Bhutan
Jaldhaka,IND,Sikkim
Tista,IND,Sikkim
Meghna,IND,Manipur
Godavari,IND,Maharashtra
Mahanadi,IND,Chhattisgarh
Krishna,IND,Maharashtra
Narmada,IND,Madhya Pradesh
Indus,CN,Xizang
Kabul,AFG,Afghanistan
Panjnad,PK,Punjab
Satluj,CN,Xizang
Chanab,IND,Himachal Pradesh
Jhelum,IND,Jammu and Kashmir
Ravi,IND,Himachal Pradesh
Mahaweli,CL,Sri Lanka
Asahan,RI,Sumatera Utara
Batang Hari,RI,Sumatera Barat
Solo,RI,Jawa Tengah
Rajang,MAL,Sarawak
Kapuas,RI,Kalimantan Barat
Mahakam,RI,Kalimantan Utara
Barito,RI,Kalimantan Selatan
Pansipit River,RP,Calabarzon
Pasig River,RP,Metro Manila
Agus River,RP,Muslim Mindanao
Mamberano,RI,Papua
Digul,RI,Papua
Sepik,PNG,North
Fly River,PNG,South
Ruggles River,CDN,Nunavut
Koukdjuak River,CDN,Nunavut
Yukon River,CDN,Yukon
Newhalen River,USA,Alaska
Kvichak River,USA,Alaska
Fraser River,CDN,British Columbia
Mackenzie River,CDN,Northwest Territories
Great Bear River,CDN,Northwest Territories
Slave River,CDN,Alberta
Athabasca River,CDN,Alberta
Peace River,CDN,British Columbia
Liard River,CDN,Yukon
Nelson River,CDN,Manitoba
Saskatchewan River,CDN,Saskatchewan
North Saskatchewan River,CDN,Alberta
South Saskatchewan River,CDN,Alberta
Red River of the North,USA,Minnesota
Red River of the North,USA,North Dakota
Churchill River,CDN,Newfoundland and Labrador
Saint Lawrence River,CDN,Quebec
Saint Lawrence River,USA,New York
Ottawa River,CDN,Quebec
Niagara River,CDN,Ontario
Niagara River,USA,New York
Detroit River,CDN,Ontario
Detroit River,USA,Michigan
Saint Marys River,CDN,Ontario
Saint Marys River,USA,Michigan
Manitou River,CDN,Ontario
Mindemoya River,CDN,Ontario
Straits of Mackinac,USA,Michigan
Nipigon River,CDN,Ontario
Manicouagan River,CDN,Quebec
Riviere Richelieu,CDN,Quebec
Merrimack River,USA,New Hampshire
Connecticut River,USA,New Hampshire
Hudson River,USA,New York
Delaware River,USA,New York
Delaware River,USA,Pennsylvania
Susquehanna River,USA,New York
Potomac River,USA,West Virginia
Savannah River,USA,Georgia
Savannah River,USA,South Carolina
Caloosahatchee River,USA,Florida
Mississippi,USA,Minnesota
Missouri,USA,Montana
Platte River,USA,Nebraska
North Platte River,USA,Colorado
South Platte River,USA,Colorado
Arkansas,USA,Colorado
Ohio River,USA,Pennsylvania
Allegheny River,USA,Pennsylvania
Tennessee River,USA,North Carolina
Columbia River,CDN,British Columbia
Clark Fork River,USA,Montana
Chelan River,USA,Oregon
Snake River,USA,Wyoming
Salmon River,USA,Idaho
Klamath River,USA,Oregon
Sacramento River,USA,California
Feather River,USA,California
San Joaquin River,USA,California
Truckee River,USA,California
Humboldt River,USA,Nevada
Amargosa River,USA,Nevada
Bear River,USA,Utah
Jordan River,USA,Utah
Colorado,USA,Colorado
Gila River,USA,New Mexico
Green River,USA,Wyoming
Brazos River,USA,Texas
Rio Grande del Norte,USA,Colorado
Rio Lerma Santiago,MEX,"MÃ©xico, Estado de"
Rio Usumacinta,GCA,Guatemala
Rio Grijalva,GCA,Guatemala
Belize River,GCA,Guatemala
Rio Dulce,GCA,Guatemala
Rio Motagua,GCA,Guatemala
Rio Lempa,GCA,Guatemala
Rio Patuca,HN,El ParaÃ­so
Rio Coco,HN,Choluteca
Rio San Juan,NIC,Nicaragua
Rio Chepo,PA,PanamÃ¡
Rio Cauto,C,Granma
Artibonito,DOM,Dominican Republic
Rio Guayas,EC,Ecuador
Rio Magdalena,CO,Huila
Rio Cauca,CO,Cauca
Rio Bogota,CO,Cundinamarca
Catatumbo,CO,Norte de Santander
Orinoco,YV,Amazonas
Arauca,CO,BoyacÃ¡
Apure,YV,TÃ¡chira
Rio Meta,CO,Cundinamarca
Rio Guaviare,CO,Guaviare
Rio Guaviare,CO,Meta
Essequibo,GUY,Guyana
Suriname,SME,Suriname
Oyapock,BR,AmapÃ¡
Amazonas,PE,Loreto
Rio Negro,CO,GuainÃ­a
Japura,CO,Valle de Cauca
Rio Putumayo,CO,Putumayo
Maranon,PE,HuÃ¡nuco
Huallaga,PE,Pasco
Ucayali,PE,JunÃ­n
Urubamba,PE,Puno
Tambo,PE,JunÃ­n
Perene,PE,JunÃ­n
Ene,PE,JunÃ­n
Mantaro,PE,JunÃ­n
Apurimac,PE,Arequipa
Jurua,PE,Ucayali
Purus,PE,Ucayali
Acre,PE,Madre de Dios
Rio Madeira,BOL,Pando
Beni,BOL,Cochabamba
Rio Madre de Dios,PE,Madre de Dios
Rio MamorÃ©,BOL,Cochabamba
Rio Guapay,BOL,Beni
Rio GuaporÃ©,BR,Mato Grosso
TapajÃ³s,BR,Amazonas
Juruena,BR,Mato Grosso
Rio Teles Pires,BR,Mato Grosso
Xingu,BR,Mato Grosso
Tocantins,BR,GoiÃ¡s
Araguaia,BR,GoiÃ¡s
Rio Parnaiba,BR,MaranhÃ£o
Rio Sao Francisco,BR,Minas Gerais
Rio Paraiba do Sul,BR,SÃ£o Paulo
Parana,BR,Mato Grosso do Sul
Parana,BR,SÃ£o Paulo
Paranaiba,BR,Minas Gerais
Rio Grande,BR,Minas Gerais
Tiete,BR,SÃ£o Paulo
Paranapanema,BR,SÃ£o Paulo
Iguacu,BR,ParanÃ¡
Paraguay,BR,Mato Grosso
Pilcomayo,BOL,PotosÃ­
Rio CuiabÃ¡,BR,Mato Grosso
Rio Salado,RA,Salta
Uruguay,BR,Rio Grande do Sul
RÃ­o Sali,RA,Salta
RÃ­o Colorado,RA,Mendoza
RÃ­o Colorado,RA,NeuquÃ©n
RÃ­o Salado del Oeste,RA,La Rioja
RÃ­o Neuquen,RA,NeuquÃ©n
RÃ­o Limay,RA,NeuquÃ©n
RÃ­o Limay,RA,RÃ­o Negro
RÃ­o Chubut,RA,RÃ­o Negro
RÃ­o Deseado,RA,Santa Cruz
RÃ­o Santa Cruz,RA,Santa Cruz
Rio Rimac,PE,Lima City
Rio Desaguadero,BOL,La Paz
Rio Loa,RCH,Antofagasta
RÃ­o BÃ­o BÃ­o,RCH,AraucanÃ­a
RÃ­o Baker,RCH,AysÃ©n
RÃ­o Azopardo,RCH,Magallanes
Sebou,MA,Fes Boulemane
Moulouya,MA,Meknes Tafilalet
Chelif,DZ,Algeria
Rhumel,DZ,Algeria
Medjerda,DZ,Algeria
Senegal,RG,Guinea
Gambia,RG,Guinea
Rio Corubal,RG,Guinea
Rokel,SLE,Sierra Leone
Moa,RG,Guinea
Saint Paul River,RG,Guinea
Bandama,RMM,Sikasso
ComoÃ©,BF,Burkina Faso
Volta,BF,Burkina Faso
Oti,BEN,Benin
OuÃ©mÃ©,BEN,Benin
Mono,BEN,Benin
Niger,RG,Guinea
Tinkisso,RG,Guinea
Bani,RMM,Koulikoro
BaoulÃ©,CI,DenguÃ©lÃ©
BagoÃ©,CI,Savanes
Sirba,BF,Burkina Faso
MÃ©krou,BEN,Benin
Sokoto,NGR,Katsina
Kaduna,NGR,Plateau
Benue,CAM,Nord
Gongola,NGR,Plateau
Yobe,NGR,Yobe
Hadejia,NGR,Katsina
Jamaare,NGR,Katsina
Mayo Kebbi,TCH,Chad
Logone,CAM,Adamaoua
Schari,RCA,Central African Republic
Nile,SUD,Al-Khará¹­Å«m
Atbara,ETH,Amhara
Tekeze,ETH,Amhara
Mareb,ETH,Tigray
Blue Nile,ETH,Amhara
White Nile,SSD,South Sudan
Sobat,SSD,South Sudan
Pibor,SSD,South Sudan
Baro,ETH,Oromia
Bahr el-Djebel/Albert Nil,EAU,Northern
Bahr el-Ghazal,SSD,South Sudan
Semliki,CGO,Nord-Kivu
Victoria Nile,EAU,Central
Victoria Nile,EAU,Eastern
Kagera,RWA,Rwanda
Rukurara-Nyabarongo,RWA,Rwanda
Ruvuvu,BI,Burundi
Luvironza,BI,Burundi
Simiyu,EAT,Simiyu
Mara,EAK,Kenya
Nzoia,EAK,Kenya
Tana,EAK,Kenya
Jubba,ETH,Oromia
Shabelle,ETH,Oromia
Sanaga,CAM,Centre
Ntem,G,Gabon
Komo,GQ,Continental
OgoouÃ©,RCB,LÃ©koumou
Congo,CGO,Tshopo
Sanga,RCA,Central African Republic
Kadei,CAM,Est
Mambere,RCA,Central African Republic
Ubangi,RCA,Central African Republic
Ubangi,CGO,Nord-Ubangi
Mbomou,RCA,Central African Republic
Mbomou,CGO,Haut-Uele
Uelle,CGO,Ituri
Fimi,CGO,Mai-Ndombe
Lukenie,CGO,Sankuru
Kasai,ANG,Moxico
Cuango,ANG,Malanje
Cuango,ANG,Lunda-Sul
Cuilo,ANG,Lunda-Sul
Lulua,CGO,Kasai
Tshuapa,CGO,Sankuru
Lomami,CGO,Haut-Lomami
Aruwimi,CGO,Ituri
Lualaba,CGO,Lualaba
Lukuga,CGO,Tanganyika
Ruzizi,CGO,Sud-Kivu
Ruzizi,RWA,Rwanda
Malagarasi,EAT,Kigoma
Luvua,CGO,Haut-Katanga
Luapula,Z,Luapula
Chambeshi,Z,Northern
Rufiji,EAT,Njombe
Zambezi,Z,North-Western
Cuando,ANG,Moxico
Kafue,Z,North-Western
Luangwa,Z,Muchinga
Shire,MW,Malawi
Cuanza,ANG,BiÃ©
Cunene,ANG,Huambo
Okavango,ANG,BiÃ©
Cuito,ANG,Moxico
Limpopo,RSA,Gauteng
Oranje,LS,Lesotho
Vaal,RSA,Mpumalanga
Mangoky,RM,Madagascar
Murchison River,AUS,Western Australia
Roper River,AUS,Northern Territory
Georgina River,AUS,Northern Territory
Murray River,AUS,Victoria
Darling River,AUS,New South Wales
Barwon River,AUS,Queensland
Macintyre River,AUS,New South Wales
Weir River,AUS,Queensland
Culgoa River,AUS,Queensland
Murrumbidgee River,AUS,New South Wales
Lachlan River,AUS,New South Wales
Molonglo River,AUS,New South Wales
Eucumbene River,AUS,New South Wales
Snowy River,AUS,New South Wales
Waikato River,NZ,New Zealand
Whangaehu River,NZ,New Zealand
Clutha River,NZ,New Zealand
