river,country,province
Songhua,CN,Heilongjiang
Sungacha,R,Primorskiy
Sungacha,CN,Heilongjiang
Ussuri,R,Khabarovskiy
Kherlen,CN,Nei Mongol
Syrdarja,KZ,Kyzylorda
Naryn,UZ,Namangan
Amudarja,UZ,QoraqalpogÊ»iston
Vakhsh,TJ,Khatlon
Pjandsh,AFG,Afghanistan
Pjandsh,TJ,Khatlon
Bartang,TJ,Gorno-Badakhshan
Ili,KZ,Almaty
KÃ¼nes,CN,Xinjiang
Tekes,CN,Xinjiang
Tarim-Yarkend,CN,Xinjiang
Tumen,R,Primorskiy
Tumen,KP,North Korea
Yalu,CN,Liaoning
Yalu,KP,North Korea
Taedong,KP,North Korea
Nakdonggang,ROK,South Korea
Namhangang,ROK,South Korea
Bukhangang,ROK,South Korea
Geumgang,ROK,South Korea
Ishikari,J,Hokkaido
Shinano,J,Niigata
Tone,J,Ibaraki
Tone,J,Chiba
Kitakami,J,Miyagi
Yodo,J,Osaka
Kushiro,J,Hokkaido
Tamsui,RC,Taiwan
Gaoping,RC,Taiwan
Liao He,CN,Liaoning
Huang He,CN,Shandong
Wei He,CN,Shaanxi
Huai,CN,Jiangsu
Yangtze,CN,Jiangsu
Yangtze,CN,Shanghai
Han,CN,Hubei
Gan Jiang,CN,Jiangxi
Xiang Jiang,CN,Hunan
Yuan Jiang,CN,Hunan
Pearl River,CN,Guangdong
Pearl River,HK,Hong Kong
Dong Jiang,CN,Guangdong
Bei Jiang,CN,Guangdong
Xi Jiang,CN,Guangdong
Hong He,VN,Red River Delta
Mekong,VN,Mekong River Delta
Tonle Sap River,K,Cambodia
Mae Nam Chao Phraya,THA,Thailand
Mae Nam Ping,THA,Thailand
Mae Nam Nan,THA,Thailand
Saluen,MYA,Mon
Irawaddy,MYA,Ayeyarwady
Ganges,BD,Barisal
Ganges,BD,Chittagong
Ghaghara,IND,Bihar
Gandaki,IND,Bihar
Kali Gandaki,NEP,Nepal
Trishuli,NEP,Nepal
Koshi,IND,Bihar
Sunkoshi,NEP,Nepal
Arun,NEP,Nepal
Yamuna,IND,Uttar Pradesh
Chambal,IND,Uttar Pradesh
Brahmaputra,BD,Dhaka
Brahmaputra,BD,Rajshahi
Raidak,BD,Rangpur
Jaldhaka,BD,Rangpur
Tista,BD,Rangpur
Meghna,BD,Chittagong
Meghna,BD,Dhaka
Godavari,IND,Andhra Pradesh
Mahanadi,IND,Odisha
Krishna,IND,Andhra Pradesh
Narmada,IND,Gujarat
Indus,PK,Sindh
Kabul,PK,Khyber Pakhtunkhwa
Panjnad,PK,Punjab
Satluj,PK,Punjab
Chanab,PK,Punjab
Jhelum,PK,Punjab
Ravi,PK,Punjab
Mahaweli,CL,Sri Lanka
Asahan,RI,Sumatera Utara
Batang Hari,RI,Jambi
Solo,RI,Jawa Timur
Rajang,MAL,Sarawak
Kapuas,RI,Kalimantan Barat
Mahakam,RI,Kalimantan Timur
Barito,RI,Kalimantan Selatan
Pansipit River,RP,Calabarzon
Pasig River,RP,Metro Manila
Agus River,RP,Northern Mindanao
Mamberano,RI,Papua
Digul,RI,Papua
Sepik,PNG,North
Fly River,PNG,South
Ruggles River,CDN,Nunavut
Koukdjuak River,CDN,Nunavut
Yukon River,USA,Alaska
Newhalen River,USA,Alaska
Kvichak River,USA,Alaska
Fraser River,CDN,British Columbia
Mackenzie River,CDN,Northwest Territories
Great Bear River,CDN,Northwest Territories
Slave River,CDN,Northwest Territories
Athabasca River,CDN,Alberta
Peace River,CDN,Alberta
Liard River,CDN,Northwest Territories
Nelson River,CDN,Manitoba
Saskatchewan River,CDN,Manitoba
North Saskatchewan River,CDN,Saskatchewan
South Saskatchewan River,CDN,Saskatchewan
Red River of the North,CDN,Manitoba
Churchill River,CDN,Newfoundland and Labrador
Saint Lawrence River,CDN,Quebec
Ottawa River,CDN,Quebec
Niagara River,CDN,Ontario
Niagara River,USA,New York
Detroit River,CDN,Ontario
Detroit River,USA,Michigan
Saint Marys River,CDN,Ontario
Saint Marys River,USA,Michigan
Manitou River,CDN,Ontario
Mindemoya River,CDN,Ontario
Straits of Mackinac,USA,Michigan
Nipigon River,CDN,Ontario
Manicouagan River,CDN,Quebec
Riviere Richelieu,CDN,Quebec
Merrimack River,USA,Massachusetts
Connecticut River,USA,Connecticut
Hudson River,USA,New York
Delaware River,USA,Delaware
Delaware River,USA,New Jersey
Susquehanna River,USA,Maryland
Potomac River,USA,Maryland
Potomac River,USA,Virginia
Savannah River,USA,Georgia
Savannah River,USA,South Carolina
Caloosahatchee River,USA,Florida
Mississippi,USA,Louisiana
Missouri,USA,Missouri
Platte River,USA,Nebraska
North Platte River,USA,Nebraska
South Platte River,USA,Nebraska
Arkansas,USA,Arkansas
Ohio River,USA,Illinois
Ohio River,USA,Kentucky
Allegheny River,USA,Pennsylvania
Tennessee River,USA,Kentucky
Columbia River,USA,Oregon
Columbia River,USA,Washington
Clark Fork River,USA,Washington
Chelan River,USA,Oregon
Snake River,USA,Washington
Salmon River,USA,Idaho
Klamath River,USA,California
Sacramento River,USA,California
Feather River,USA,California
San Joaquin River,USA,California
Truckee River,USA,Nevada
Humboldt River,USA,Nevada
Amargosa River,USA,California
Bear River,USA,Utah
Jordan River,USA,Utah
Colorado,MEX,Baja California
Colorado,MEX,Sonora
Gila River,USA,Arizona
Green River,USA,Utah
Brazos River,USA,Texas
Rio Grande del Norte,USA,Texas
Rio Grande del Norte,MEX,Tamaulipas
Rio Lerma Santiago,MEX,MichoacÃ¡n
Rio Usumacinta,MEX,Tabasco
Rio Grijalva,MEX,Tabasco
Belize River,BZ,Belize
Rio Dulce,GCA,Guatemala
Rio Motagua,GCA,Guatemala
Rio Lempa,ES,El Salvador
Rio Patuca,HN,ColÃ³n
Rio Coco,HN,ColÃ³n
Rio Coco,NIC,Nicaragua
Rio San Juan,NIC,Nicaragua
Rio San Juan,CR,LimÃ³n
Rio Chepo,PA,PanamÃ¡
Rio Cauto,C,Granma
Artibonito,RH,Haiti
Rio Guayas,EC,Ecuador
Rio Magdalena,CO,AtlÃ¡ntico
Rio Magdalena,CO,Magdalena
Rio Cauca,CO,BolÃ­var
Rio Bogota,CO,Cundinamarca
Catatumbo,YV,Zulia
Orinoco,YV,Delta Amacuro
Arauca,YV,Apure
Apure,YV,Apure
Apure,YV,GuÃ¡rico
Rio Meta,YV,Apure
Rio Meta,CO,Vichada
Rio Guaviare,CO,GuainÃ­a
Rio Guaviare,CO,Vichada
Essequibo,GUY,Guyana
Suriname,SME,Suriname
Oyapock,GF,French Guiana
Oyapock,BR,AmapÃ¡
Amazonas,BR,AmapÃ¡
Amazonas,BR,ParÃ¡
Rio Negro,BR,Amazonas
Japura,BR,Amazonas
Rio Putumayo,BR,Amazonas
Maranon,PE,Loreto
Huallaga,PE,Loreto
Ucayali,PE,Loreto
Urubamba,PE,Ucayali
Tambo,PE,JunÃ­n
Perene,PE,JunÃ­n
Ene,PE,JunÃ­n
Mantaro,PE,JunÃ­n
Apurimac,PE,JunÃ­n
Jurua,BR,Amazonas
Purus,BR,Amazonas
Acre,BR,Amazonas
Rio Madeira,BR,Amazonas
Beni,BOL,Pando
Rio Madre de Dios,BOL,Pando
Rio MamorÃ©,BOL,Beni
Rio Guapay,BOL,Santa Cruz
Rio Guapay,BOL,Beni
Rio GuaporÃ©,BOL,Beni
Rio GuaporÃ©,BR,RondÃ´nia
TapajÃ³s,BR,ParÃ¡
Juruena,BR,Amazonas
Rio Teles Pires,BR,Amazonas
Xingu,BR,ParÃ¡
Tocantins,BR,ParÃ¡
Araguaia,BR,ParÃ¡
Araguaia,BR,Tocantins
Rio Parnaiba,BR,MaranhÃ£o
Rio Parnaiba,BR,PiauÃ­
Rio Sao Francisco,BR,Alagoas
Rio Sao Francisco,BR,Sergipe
Rio Paraiba do Sul,BR,Rio de Janeiro
Parana,RA,Buenos Aires
Parana,RA,Entre RÃ­os
Paranaiba,BR,Mato Grosso do Sul
Paranaiba,BR,Minas Gerais
Rio Grande,BR,Minas Gerais
Rio Grande,BR,SÃ£o Paulo
Tiete,BR,SÃ£o Paulo
Paranapanema,BR,ParanÃ¡
Paranapanema,BR,SÃ£o Paulo
Iguacu,BR,ParanÃ¡
Paraguay,RA,Chaco
Paraguay,PY,Paraguay
Pilcomayo,RA,Formosa
Pilcomayo,PY,Paraguay
Rio CuiabÃ¡,BR,Mato Grosso
Rio CuiabÃ¡,BR,Mato Grosso do Sul
Rio Salado,RA,Santa Fe
Uruguay,RA,Entre RÃ­os
Uruguay,ROU,Uruguay
RÃ­o Sali,RA,Santiago de Estero
RÃ­o Colorado,RA,Buenos Aires
RÃ­o Salado del Oeste,RA,La Pampa
RÃ­o Neuquen,RA,Buenos Aires
RÃ­o Neuquen,RA,RÃ­o Negro
RÃ­o Limay,RA,NeuquÃ©n
RÃ­o Limay,RA,RÃ­o Negro
RÃ­o Chubut,RA,Chubut
RÃ­o Deseado,RA,Santa Cruz
RÃ­o Santa Cruz,RA,Santa Cruz
Rio Rimac,PE,Callao
Rio Desaguadero,BOL,Oruro
Rio Loa,RCH,Antofagasta
RÃ­o BÃ­o BÃ­o,RCH,BÃ­o-BÃ­o
RÃ­o Baker,RCH,AysÃ©n
RÃ­o Azopardo,RCH,Magallanes
Sebou,MA,Gharb Chrarda Beni Hssen
Moulouya,MA,Oriental
Chelif,DZ,Algeria
Rhumel,DZ,Algeria
Medjerda,TN,Tunisia
Senegal,RIM,Trarza
Senegal,SN,Saint-Louis
Gambia,WAG,Gambia
Rio Corubal,GUB,Guinea-Bissau
Rokel,SLE,Sierra Leone
Moa,SLE,Sierra Leone
Saint Paul River,LB,Liberia
Bandama,CI,Lagunes
ComoÃ©,CI,ComoÃ©
Volta,GH,Greater Accra
Volta,GH,Volta
Oti,GH,Oti
OuÃ©mÃ©,BEN,Benin
Mono,BEN,Benin
Niger,NGR,Delta
Tinkisso,RG,Guinea
Bani,RMM,Mopti
BaoulÃ©,RMM,Mopti
BagoÃ©,RMM,Mopti
Sirba,RN,TillabÃ©ri
MÃ©krou,RN,TillabÃ©ri
Sokoto,NGR,Kebbi
Kaduna,NGR,Kebbi
Benue,NGR,Kogi
Gongola,NGR,Adamawa
Yobe,NGR,Borno
Yobe,RN,Diffa
Hadejia,NGR,Yobe
Jamaare,NGR,Yobe
Mayo Kebbi,CAM,Nord
Logone,TCH,Chad
Schari,TCH,Chad
Schari,CAM,ExtrÃªme-Nord
Nile,ET,Egypt
Atbara,SUD,Nahr an-NÄ«l
Tekeze,SUD,Al-Qaá¸Ärif
Mareb,SUD,KassalÄ
Blue Nile,SUD,Al-Khará¹­Å«m
White Nile,SUD,Al-Khará¹­Å«m
Sobat,SSD,South Sudan
Pibor,SSD,South Sudan
Pibor,ETH,Gambella
Baro,SSD,South Sudan
Baro,ETH,Gambella
Bahr el-Djebel/Albert Nil,SSD,South Sudan
Bahr el-Ghazal,SSD,South Sudan
Semliki,CGO,Ituri
Victoria Nile,EAU,Northern
Victoria Nile,EAU,Western
Kagera,EAU,Central
Rukurara-Nyabarongo,EAT,Kagera
Rukurara-Nyabarongo,RWA,Rwanda
Ruvuvu,EAT,Kagera
Luvironza,BI,Burundi
Simiyu,EAT,Mwanza
Mara,EAT,Mara
Nzoia,EAK,Kenya
Tana,EAK,Kenya
Jubba,SO,Somalia
Shabelle,SO,Somalia
Sanaga,CAM,Littoral
Ntem,GQ,Continental
Ntem,G,Gabon
Komo,G,Gabon
OgoouÃ©,G,Gabon
Congo,CGO,Kongo Central
Sanga,RCB,Cuvette
Kadei,RCA,Central African Republic
Mambere,RCA,Central African Republic
Ubangi,RCB,Likouala
Ubangi,CGO,Ã‰quateur
Mbomou,RCA,Central African Republic
Mbomou,CGO,Bas-Uele
Uelle,CGO,Haut-Uele
Fimi,CGO,Mai-Ndombe
Lukenie,CGO,Mai-Ndombe
Kasai,CGO,Mai-Ndombe
Cuango,CGO,Kwilu
Cuango,CGO,Mai-Ndombe
Cuilo,CGO,Kwilu
Lulua,CGO,Lualaba
Tshuapa,CGO,Ã‰quateur
Lomami,CGO,Tshopo
Aruwimi,CGO,Haut-Uele
Lualaba,CGO,Tshopo
Lukuga,CGO,Tanganyika
Ruzizi,CGO,Sud-Kivu
Ruzizi,BI,Burundi
Malagarasi,EAT,Kigoma
Luvua,CGO,Haut-Katanga
Luapula,CGO,Haut-Katanga
Luapula,Z,Luapula
Chambeshi,Z,Luapula
Rufiji,EAT,Pwani
Zambezi,MOC,ZambÃ©zia
Cuando,NAM,Namibia
Cuando,RB,Botswana
Kafue,Z,Lusaka
Kafue,Z,Southern
Luangwa,MOC,Tete
Luangwa,Z,Lusaka
Shire,MOC,Tete
Shire,MOC,ZambÃ©zia
Cuanza,ANG,Luanda
Cuanza,ANG,Bengo
Cunene,ANG,Namibe
Cunene,NAM,Namibia
Okavango,RB,Botswana
Cuito,ANG,Cuando Cubango
Limpopo,MOC,Gaza
Oranje,NAM,Namibia
Oranje,RSA,Northern Cape
Vaal,RSA,Northern Cape
Mangoky,RM,Madagascar
Murchison River,AUS,Western Australia
Roper River,AUS,Northern Territory
Georgina River,AUS,South Australia
Murray River,AUS,South Australia
Darling River,AUS,New South Wales
Barwon River,AUS,New South Wales
Macintyre River,AUS,New South Wales
Macintyre River,AUS,Queensland
Weir River,AUS,Queensland
Culgoa River,AUS,New South Wales
Murrumbidgee River,AUS,New South Wales
Lachlan River,AUS,New South Wales
Molonglo River,AUS,Australia Capital Territory
Eucumbene River,AUS,New South Wales
Snowy River,AUS,Victoria
Waikato River,NZ,New Zealand
Whangaehu River,NZ,New Zealand
Clutha River,NZ,New Zealand
